City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Carnarvon,AU,-24.8667,113.6333,69.26,59,86,20.42,overcast clouds
1,Teguise,ES,29.0605,-13.564,61.02,82,20,9.22,few clouds
2,Makakilo City,US,21.3469,-158.0858,77.32,61,0,17.27,clear sky
3,Ushuaia,AR,-54.8,-68.3,42.46,93,75,2.3,broken clouds
4,Sucre,BO,-19.0333,-65.2627,49.71,80,0,4.21,clear sky
5,Zeya,RU,53.75,127.2667,50.58,49,94,6.33,light rain
6,Butaritari,KI,3.0707,172.7902,81.25,73,100,12.41,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,57.88,94,100,12.66,light rain
8,Priladozhskiy,RU,59.85,31.4833,45.54,1,98,14.94,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,77.2,69,10,19.98,clear sky
10,Marawi,PH,7.9986,124.2928,77.76,85,99,2.35,overcast clouds
11,Port Hedland,AU,-20.3167,118.5667,84.25,70,40,14.97,scattered clouds
12,Deputatskiy,RU,69.3,139.9,30.34,99,100,7.16,snow
13,Galesong,ID,-5.3166,119.3661,87.82,68,59,4.65,broken clouds
14,Mataura,NZ,-46.1927,168.8643,55.47,82,100,2.15,overcast clouds
15,Torbay,CA,47.6666,-52.7314,35.58,85,0,8.05,clear sky
16,Kanigoro,ID,-8.13,112.219,87.58,64,15,5.91,light rain
17,Tautira,PF,-17.7333,-149.15,80.91,69,0,15.86,clear sky
18,Esperance,AU,-33.8667,121.9,58.84,68,56,33.76,broken clouds
19,Bredasdorp,ZA,-34.5322,20.0403,56.3,80,82,5.91,broken clouds
20,Olafsvik,IS,64.8945,-23.7142,34.59,71,100,27.02,overcast clouds
21,Keti Bandar,PK,24.1447,67.4497,89.26,59,0,23.33,clear sky
22,Itarema,BR,-2.9248,-39.9167,76.5,91,58,8.81,broken clouds
23,Wadi Maliz,TN,36.4681,8.5495,51.46,51,0,2.51,clear sky
24,Albany,US,42.6001,-73.9662,65.88,79,49,5.17,scattered clouds
25,Hermanus,ZA,-34.4187,19.2345,57.79,79,96,11.74,light rain
26,Punta Arenas,CL,-53.15,-70.9167,35.71,93,75,8.05,broken clouds
27,Salalah,OM,17.0151,54.0924,96.89,7,3,24.16,clear sky
28,Mount Isa,AU,-20.7333,139.5,78.57,34,0,6.91,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,78.22,69,40,10.36,scattered clouds
30,Grand Gaube,MU,-20.0064,57.6608,78.39,67,35,10.0,scattered clouds
31,Rock Springs,US,41.5875,-109.2029,44.04,34,0,17.27,clear sky
32,Khatanga,RU,71.9667,102.5,22.35,80,15,12.71,few clouds
33,Puerto Carreno,CO,6.189,-67.4859,78.85,80,97,4.45,overcast clouds
34,Ambon,ID,-3.6954,128.1814,87.94,70,20,3.44,few clouds
35,Dikson,RU,73.5069,80.5464,28.9,82,100,11.63,overcast clouds
36,Odweyne,SO,9.4092,45.064,79.25,46,33,10.56,scattered clouds
37,Pevek,RU,69.7008,170.3133,30.9,84,94,10.98,overcast clouds
38,Tarko-Sale,RU,64.9225,77.785,56.53,61,53,10.71,broken clouds
39,Victoria,HK,22.2855,114.1577,83.25,86,99,15.01,overcast clouds
40,Dehloran,IR,32.6941,47.2679,83.57,15,0,4.85,clear sky
41,Tiksi,RU,71.6872,128.8694,22.48,77,97,13.04,overcast clouds
42,Krasnyy Chikoy,RU,50.3643,108.7512,58.5,26,25,9.71,scattered clouds
43,Half Moon Bay,US,37.4636,-122.4286,55.87,81,0,17.27,clear sky
44,Bluff,NZ,-46.6,168.3333,55.8,77,100,11.3,overcast clouds
45,Praia,CV,14.9215,-23.5087,73.94,64,0,19.57,clear sky
46,Platanos,GR,37.6667,21.6167,61.57,71,92,3.36,overcast clouds
47,Kapaa,US,22.0752,-159.319,78.78,84,75,20.71,broken clouds
48,Kavieng,PG,-2.5744,150.7967,84.51,65,100,9.31,overcast clouds
49,Cidreira,BR,-30.1811,-50.2056,56.23,87,4,5.19,clear sky
50,Kieta,PG,-6.2167,155.6333,84.29,69,47,4.29,scattered clouds
51,Leningradskiy,RU,69.3833,178.4167,31.39,79,43,6.51,scattered clouds
52,Road Town,VG,18.4167,-64.6167,78.89,76,91,22.03,overcast clouds
53,San Cristobal,VE,7.7669,-72.225,69.98,94,97,3.24,overcast clouds
54,Sur,OM,22.5667,59.5289,96.87,27,20,2.73,few clouds
55,Gamba,GA,-2.65,10.0,76.91,92,100,5.77,light rain
56,Beringovskiy,RU,63.05,179.3167,34.66,84,35,4.5,scattered clouds
57,Kahului,US,20.8947,-156.47,77.02,70,40,20.71,scattered clouds
58,Huilong,CN,31.8111,121.655,66.92,74,100,14.43,moderate rain
59,Bethel,US,41.3712,-73.414,63.45,92,100,4.61,mist
60,Barrow,US,71.2906,-156.7887,21.22,86,100,11.5,overcast clouds
61,Tasiilaq,GL,65.6145,-37.6368,23.16,64,30,5.1,scattered clouds
